-0,0,-0
-0,0,-0.001
-0,0,-0.001
0.011,-0.001,-0.004
0.641,-0.011,-0.007
0.696,-0.012,-0.099
0.7,-0.015,-0.896
0.694,0.004,-1.512
0.699,0.027,-2.125
0.716,0.041,-2.763
0.729,0.043,2.906
0.733,0.041,2.231
0.733,0.042,1.582
0.739,0.059,0.922
0.76,0.074,0.314
0.769,0.074,-0.211
1.062,0.014,-0.23
1.664,-0.133,-0.261
2.287,-0.296,-0.271
2.914,-0.494,-0.32
3.533,-0.673,-0.301
4.242,-0.814,-0.174
4.921,-0.934,-0.146
5.729,-0.928,-0.027
6.445,-0.961,-0.075
7.197,-0.981,-0.064
7.918,-1.05,-0.1
8.662,-1.101,-0.08
9.364,-1.163,-0.081
9.872,-1.198,-0.047
9.853,-1.175,-0.573
9.921,-1.187,-0.837
10.304,-1.604,-0.853
10.834,-2.168,-0.786
11.405,-2.707,-0.75
12.001,-3.233,-0.701
12.6,-3.749,-0.697
13.036,-4.12,-0.676
13.045,-4.137,-0.977
13.05,-4.097,-1.131
13.338,-4.664,-1.101
13.642,-5.237,-1.122
13.914,-5.776,-1.134
14.183,-6.334,-1.164
14.441,-6.891,-1.191
14.676,-7.582,-1.238
14.894,-8.281,-1.25
15.102,-8.979,-1.283
15.292,-9.688,-1.283
15.478,-10.389,-1.326
15.609,-11.065,-1.363
15.746,-11.781,-1.385
15.838,-12.465,-1.455
15.925,-13.151,-1.437
15.983,-13.762,-1.493
15.973,-13.828,-1.483
15.966,-13.919,-1.468
16.042,-14.66,-1.475
16.115,-15.408,-1.425
16.206,-16.134,-1.446
16.297,-16.871,-1.423
16.384,-17.585,-1.472
16.444,-18.306,-1.428
16.502,-19.026,-1.461
16.587,-19.754,-1.396
16.663,-20.471,-1.447
16.734,-21.222,-1.455
16.793,-21.976,-1.455
16.845,-22.498,-1.472
16.838,-22.527,-1.629
16.831,-22.538,-2.307
16.852,-22.544,3.33
16.861,-22.546,3.319
16.869,-22.549,3.252
16.875,-22.571,2.627
16.888,-22.584,2.272
16.882,-22.577,2.962
16.878,-22.578,3.193
